name,seasons,about,episode-title,episode-description,facebook,twitter,instagram
Stranger Things,4 Seasons,"This nostalgic nod to '80s sci-fi and horror classics has earned dozens of Emmy nominations, including three for Outstanding Drama.",,,,,
,,,1. Chapter One: The Vanishing of Will Byers,"On his way home from a friend's house, young Will sees something terrifying. Nearby, a sinister secret lurks in the depths of a government lab.",,,
,,,2. Chapter Two: The Weirdo on Maple Street,"Lucas, Mike and Dustin try to talk to the girl they found in the woods. Hopper questions an anxious Joyce about an unsettling phone call.",,,
,,,"3. Chapter Three: Holly, Jolly",An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.,,,
,,,4. Chapter Four: The Body,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Nancy and Jonathan form an unlikely alliance.",,,
,,,5. Chapter Five: The Flea and the Acrobat,Hopper breaks into the lab while Nancy and Jonathan confront the force that took Will. The boys ask Mr. Clarke how to travel to another dimension.,,,
,,,6. Chapter Six: The Monster,"A frantic Jonathan looks for Nancy in the darkness, but Steve's looking for her, too. Hopper and Joyce uncover the truth about the lab's experiments.",,,
,,,7. Chapter Seven: The Bathtub,"Eleven struggles to reach Will, while Lucas warns that ""the bad men are coming."" Nancy and Jonathan show the police what Jonathan caught on camera.",,,
,,,8. Chapter Eight: The Upside Down,"Dr. Brenner holds Hopper and Joyce for questioning while the boys wait with Eleven in the gym. Back at Will's, Nancy and Jonathan prepare for battle.",,,
Stranger Things,4 Seasons,"This nostalgic nod to '80s sci-fi and horror classics has earned dozens of Emmy nominations, including three for Outstanding Drama.",,,https://www.facebook.com/StrangerThingsTV/,https://twitter.com/stranger_things,https://www.instagram.com/strangerthingstv
